ADRES,NAZWA,TYP,ROZMIAR,LICZBA,FORMULA,FORMULA1,OPIS,OPIS1,SLOWNIK,REGWYM,WYMOG,UWAGI,POLECENIE,POLECENIE1,WYST,DT_DOD
JPK_ST_1\,.,,0,,"VP(""okr"",PD->ROK)",,Jednolity plik kontrolny dla ewidencji ˜rodk¢w trwaˆych,,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\,xmlns:etd,Z,100,,"""http://crd.gov.pl/xml/schematy/dziedzinowe/mf/2022/01/05/eD/DefinicjeTypy/""",,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\,xmlns:kus,Z,0,,"""http://crd.gov.pl/xml/schematy/dziedzinowe/mf/2022/01/05/eD/KodyUrzedowSkarbowych/""",,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\,xmlns,Z,0,,"""http://jpk.mf.gov.pl/wzor/2024/11/26/11262/""",,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\1.Naglowek\,.,,0,,".T. .or. KD->(dbseek(VG('okr'))) .and. KP->(dbsetorder('NL')) .and. PD->(dbseek(VG('okr')+""12"")) .and. vp('Lp',0)==0 .and. vp('num',0)==0",,"Dane dotycz¥ce pliku JPK_ST - kod i wariant formularza, cel zˆo¾enia, data wytworzenia pliku JPK_ST, data pocz¥tkowa i koäcowa okresu, kt¢rego dotyczy plik JPK_ST oraz kod urz©du skarbowego wˆa˜ciwego dla podatnika",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\1.Naglowek\1.KodFormularza\,.,Z,0,,"""JPK_ST""",,,,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\1.Naglowek\1.KodFormularza\,kodSystemowy,Z,0,,"""JPK_ST (1)""",,,,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\1.Naglowek\1.KodFormularza\,wersjaSchemy,Z,0,,"""1-2""",,,,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\1.Naglowek\2.WariantFormularza\,.,Z,0,,1,,,,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\1.Naglowek\3.CelZlozenia\,.,Z,0,,"Pytaj(""Cel zˆo¾enia"",""1"")",,"Pole zawiera okre˜lenie celu zˆo¾enia: - 0 - zˆo¾enie JPK na ¾¥danie, - 1 - zˆo¾enie JPK po raz pierwszy (dotyczy wyˆ¥cznie obligatoryjnego JPK), - 2 - zˆo¾enie korekty JPK (dotyczy wyˆ¥cznie obligatoryjnego JPK)",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\1.Naglowek\4.DataWytworzeniaJPK\,.,C,0,,"strtran(dtoc(today()),'.','-')+'T'+time()",,"Data i czas wytworzenia pliku JPK_ST w formacie RRRR-MM-DDTGG:MM:SS (np. ""2027-03-21T09:30:47""). Opcjonalnie dla oznaczenia czasu uniwersalnego (UTC) mo¾na na koäcu doda† liter© ""Z"" (ZULU) (np.: 2027-03-21T09:30:47Z)",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\1.Naglowek\5.DataOd\,.,D,10,,"VG('okr')+""-01-01""",,"Data pocz¥tkowa okresu, kt¢rego dotyczy JPK_ST w formacie RRRR-MM-DD (np. ""2026-01-01"")",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\1.Naglowek\6.DataDo\,.,D,10,,"VG('okr')+""-12-01""",,"Data koäcowa okresu, kt¢rego dotyczy JPK_ST w formacie RRRR-MM-DD (np. ""2026-12-31"")",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\1.Naglowek\8.KodUrzedu\,.,Z,0,,"iif(DK->(dbsetorder(""DK"")).and.DK->(dbseek(""0002"")),trim(DK->PESEL),"""")",,Oznaczenie kodu urz©du skarbowego wˆa˜ciwego dla podatnika - wyb¢r ze sˆownika,,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\,.,,0,,"DK->(dbsetorder(""DK"")).and.DK->(dbseek('0000')).and.VP('RE',DK->FD==""RE"", .T.)",,"Dane identyfikuj¥ce podmiot przekazuj¥cy plik JPK_ST - NIP, imi©, nazwisko i data urodzenia lub peˆna nazwa podmiotu, email, telefon kontaktowy oraz wskazanie, czy wybrano metod© kasow¥ dla rozliczeä PIT",,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\,rola,Z,20,,"""Podatnik""",,,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\Informacja\,,Z,1,,"Info(""UWAGA! Ten formularz generuje pusty plik JPK_ST. Je¾eli posiadasz ˜rodki trwaˆe, musisz uzupeˆni† plik r©cznie!"").and..F.",,,,,,,,,,0,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\OsobaFizyczna\,.,,,,.not.empty(ctod(DK->DATA_UR)),,Dane identyfikuj¥ce podmiot - osob© fizyczn¥,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\OsobaFizyczna\1.etd:NIP\,.,Z,15,,trim(DK->NIPBK),,Identyfikator podatkowy NIP,,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\OsobaFizyczna\2.etd:ImiePierwsze\,.,Z,20,,trim(DK->IMIE),,Pierwsze imi© osoby fizycznej (max 30 znak¢w),,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\OsobaFizyczna\3.etd:Nazwisko\,.,Z,20,,trim(DK->NAZWISKO),,Nazwisko osoby fizycznej (max 81 znak¢w),,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\OsobaFizyczna\4.etd:DataUrodzenia\,.,D,10,,"strtran(DK->DATA_UR,""."",""-"")",,"Data urodzenia osoby fizycznej w formacie RRRR-MM-DD (np. ""1970-05-10"")",,,,,,,,,2026.03.29 12:00:00
JPK_ST_1\2.Podmiot1\OsobaFizyczna\5.Email\,.,Z,30,,"iif(!empty(DK->E_MAIL),trim(DK->E_MAIL),.F.)",,"Email (min 3 znaki, max 255 znak¢w, musi zawiera† znak ""@)"") (pole opcjonalne)",,,,,,,,,2026.03.29 12:00:00
