ADRES,NAZWA,TYP,ROZMIAR,LICZBA,FORMULA,FORMULA1,OPIS,OPIS1,SLOWNIK,REGWYM,WYMOG,UWAGI,POLECENIE,POLECENIE1,WYST,DT_DOD
JPK_V7K_3\,.,,,,"vp('dek',len(ltrim(PVAT->MSC))==1,.T.) .and. vp('okr',PVAT->ROK+"".""+iif(!vg('dek'),PVAT->MSC,padl(val(PVAT->MSC)*3,2,'0') ),.T.) .and. vp('msc',PVAT->MSC,.T.)",,Jednolity plik kontrolny dla ewidencji zakupu i sprzeda¾y VAT,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\,xmlns,Z,,,"""http://crd.gov.pl/wzor/2025/12/19/14089/""",,,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\,xmlns:etd,Z,,,"""http://crd.gov.pl/xml/schematy/dziedzinowe/mf/2022/09/13/eD/DefinicjeTypy/""",,,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\,xmlns:schemaLocation,Z,,,"""http://crd.gov.pl/xml/schematy/dziedzinowe/mf/2022/09/13/eD/DefinicjeTypy/StrukturyDanych_v12-0E.xsd""",,,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\,.,,,,"iif(!vg('dek'),info('Plik nie zawiera deklaracji VAT !'),.T.)",,Nagˆ¢wek JPK_VAT,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\1.KodFormularza\,.,Z,10,,"""JPK_VAT""",,Pole przechowuje dwa atrybuty elementu KodFormularza: - kodSystemowy: JPK_V7M (1) [dla podatnik¢w rozliczaj¥cych si© miesi©cznie] albo JPK_V7K (1) [dla podatnik¢w rozliczaj¥cych si© kwartalnie] - wersjaSchemy: 1-1.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\1.KodFormularza\,kodSystemowy,Z,12,,"""JPK_V7K (3)""",,,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\1.KodFormularza\,wersjaSchemy,Z,5,,"""1-0E""",,,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\2.WariantFormularza\,.,Z,3,,"""3""",,Pole zawiera oznaczenie schematu. Obecnie jest to warto˜†: 1. Jest to pierwszy wariant schemy JPK_V7M oraz JPK_V7K.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\3.DataWytworzeniaJPK\,.,Z,19,,"strtran(dtoc(today()),'.','-')+'T'+time()",,Data i czas sporz¥dzenia JPK_V7K.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\4.NazwaSystemu\,.,Z,10,,"""VATowiec""",,"Nazwa systemu informatycznego, z kt¢rego przesyˆany jest JPK_V7M/JPK_V7K (pole fakultatywne)",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\5.CelZlozenia\,.,Z,,,"Pytaj(""Cel zˆo¾enia"", ""1"")",,Pole zawiera okre˜lenie celu zˆo¾enia: 1 - zˆo¾enie 2 - korekta,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\5.CelZlozenia\,poz,Z,20,,"""P_7""",,,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\6.KodUrzedu\,.,Z,5,,"iif(DK->(dbsetorder(""DK"")).and.DK->(dbseek(""0001"")),trim(DK->PESEL),"""")",,"Oznaczenie kodu urz©du skarbowego, do kt¢rego skˆadana jest deklaracja i ewidencja (np. 1471).",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\7.Rok\,.,N,4,,"left(VG('okr'),4)",,"Oznaczenie roku, za kt¢ry skˆadana jest deklaracja i ewidencja (np. 2020).",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\1.Naglowek\8.Miesiac\,.,N,2,,"substr(VG('okr'),6)",,"Oznaczenie miesi¥ca, za kt¢ry skˆadana jest deklaracja i ewidencja dla JPK_V7M oraz oznaczenie miesi¥ca, za kt¢ry skˆadana jest ewidencja dla JPK_V7K (np. 7). W przypadku zˆo¾enia pierwotnego JPK_V7K, jak i korekty cz©˜ci deklaracyjnej nale¾y wskaza† osta","tni miesi¥c kwartaˆu, tj. odpowiednio: 3, 6, 9, 12.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\2.Podmiot1\,.,,,,"vp('LpSp',0)==0 .and. DK->(dbseek('0000')).and. RV->(dbgotop()) .and. RV->(dbseek(VG('okr')))",,,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\2.Podmiot1\,rola,Z,20,,"""Podatnik""",,,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\2.Podmiot1\OsobaFizyczna\,.,,,,"DK->(dbsetorder(""DK"")).and.DK->(dbseek(""0000"")) .and. .not.empty(ctod(DK->DATA_UR))",,,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\2.Podmiot1\OsobaFizyczna\1.etd:NIP\,.,Z,15,,trim(DK->NIPBK),,Identyfikator podatkowy NIP podatnika (np. 1010000000).,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\2.Podmiot1\OsobaFizyczna\2.etd:ImiePierwsze\,.,Z,20,,trim(DK->IMIE),,Pierwsze imi© podatnika,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\2.Podmiot1\OsobaFizyczna\3.etd:Nazwisko\,.,Z,20,,trim(DK->NAZWISKO),,Nazwisko podatnika,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\2.Podmiot1\OsobaFizyczna\4.etd:DataUrodzenia\,.,D,10,,"strtran(DK->DATA_UR,""."",""-"")",,Data urodzenia podatnika (np. 1977-07-07),,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\2.Podmiot1\OsobaFizyczna\5.Email\,.,Z,30,,"iif(!empty(DK->E_MAIL),trim(DK->E_MAIL),.F.)",,Adres poczty elektronicznej podatnika lub osoby reprezentuj¥cej podatnika,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\2.Podmiot1\OsobaFizyczna\6.Telefon\,.,Z,20,,"iif(!empty(DK->TEL),trim(DK->TEL),.F.)",,Numer telefonu kontaktowego (np. 801055055) [pole fakultatywne],,,,,,,,,2022.02.09 11:39:10
